name,leaf_group,hierarchy_path,level_0,level_1,level_2,level_3,level_4,level_5,level_6,outline_level
Спрей Aroma Harmony Цитрус и Кедр 300мл,Освежители интерьерные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители интерьерные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители интерьерные,,,5
Антипыль Effe для мебели 600мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость для полов ABC Белая жемчужина 900мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость для полов ABC Магический сад 900мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость для полов ABC Розовый букет 900мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для домов с кошками Свежий Цитрус 500мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола 1л Бережная уборка Универсальная,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола 1л Лавандовое спокойствие,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола 1л Лимон,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола 500мл Горный ручей,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола 500мл Лавандовое спокойствие,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола 500мл Лимон,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Жидкость Мистер Пропер для пола и стен Бережная уборка 500мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Полироль Пронто для мебели с маслом арганы аэрозоль 250мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Спрей-пена для ковров и мебели Wellroom 500 мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Ср-во Золушка Полироль по уходу за мебелью курок 300мл,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Ср-во ЭМЗАЛЬ по уходу за полом интенс. моющее ср-во 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Ср-во ЭМЗАЛЬ по уходу за полом Универсальный 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
Средство DOA для мытья пола Букет 1л,Средства для дома прочие (ковры. мебель),Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Средства другие по уходу за домом / Средства для дома прочие (ковры. мебель),Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Средства другие по уходу за домом,Средства для дома прочие (ковры. мебель),,,5
